text,class,topic
It's wonderful and quite relaxing.,1,relaxing
I hope the dev is expanding on this beautiful base concept.,0,
Just wanted to say thanks for the full controller support.,1,controls
its always the 5 dollar indie game that changes your life,1,price
forgot i had depression for a second,0,
"Townscaper while not a game, is the perfect tool for creating cities and towns for pictures and other useful activities.",0,
I personally use it for Dungeon Mastering and creating a comprehensive city layout that I can then detail in separate tools.,0,
The 3D aspect of creating a town is the most useful by far.,0,
"Excellent, meditative and very relaxing in a strange way.",1,relaxing
"Perhaps the addition of some more live elements (such as people, boats etc) and the ability to designate buildings or areas to certain categories such as market, church, house might improve the experience?",0,
I love it anyway and look forward to seeing what future updates provide.,0,
"Some people have criticised this game because of its lack of objectives, they say it's not a real game because you can never win or lose.",0,
This programme is so much more than a game.,0,
"A form of expression, even a form of therapy.",1,relaxing
"The finely balanced combination of design and necessity, having your ""perfect"" building turn out different to how you expected, you fix it and it somehow ends up looking better then your original plan.",1,gameplay
"Now it needs a neighbourhood, several hours pass and you declare your work done, not because you are bored but because a true artist knows when a work is finished.",0,
This game is sublime because it makes me feel like a true artist.,0,
What a pleasant surprise.,0,
"Properly creative, satisfying, visually appealing, well made, well priced, and well dressed.",1,atmosphere
This game is the cure.,1,relaxing
"Choose your color, position the sun in the sky, and build.",1,accessibility
"And before you know it, an hour has passed and you find yourself saying; ""Just one more island,"" ""Just one more house.""",1,playtime
"And then that house becomes a castle, and that castle becomes a towering fortress.",0,
"I struggle in some kinds of sandbox games to muster up the energy to create something beautiful, and usually that process consists 95% of hating my life then 5% satisfaction at the final product.",0,
This game has flipped that on it's head and makes the entire process satisfyingly pleasing.,0,
I'm having so much fun exploring what's possible in this fun little game.,0,
"It will be an amaging engineering challenge and it will allow us to enjoy mini-games, like flying a toy plane or parkouring Journey-style, in those tiny worlds we make.",0,
A new paradigm on level design is upon us.,1,level design
Why not instead of an infinite expanse of water have a procedurally generated planet that one could build on.,0,
Maybe there are some people that would prefer it the way it is and that could be toggled on and off whichever way the player prefers to play.,0,
These are some of the ideas that I notice and can't help but feel like the true potential of this game is barely being scratched.,0,
Vey good satisfying game.,1,relaxing
"A little background music would be nice too, but otherwise this game is amazing especially considering how new it is.",-1,sound
Color house make brain feel good,0,
ploop ploop makes the pain go away,0,
"If you're the sort of person who doodles on paper, drawing lines, connecting them up, filling in the gaps, imagining little towns with roads etc., buy this game.",0,
If you've got too much time on your hands (hellooo 2020/2021!,0,
"If you love finding amusing Easter eggs, odd quirks and delightful features, buy this game.",0,
"If you're a human being with a computer, buy this game.",0,
"I know you've already got a library full of stuff you don't play - you'll play this, don't worry.",0,
"The developer calls this more of a toy or experiment than a game and he is correct - this however does not impact the magic and wonder this very simple little procedural town builder (or painter, or creator - Im not sure what to call it) can create.",0,
The minimalist mechanics and intuitive design is amazing and what you can get out of something that on the surfaces seems so simple is a testament to how deeply creative this little game really is.,1,gameplay
"Honestly, it's daftly satisfying and worth the price of a large coffee.",1,price
A lot of fun and def work the 5$.,1,price
I would love to be able to switch to first person and walk through my town!,0,
This is my Zen Garden.,1,relaxing
"I recommend making a town, then checking out the first person viewer someone made.",0,
Build towns on fractal-like grids with plenty of verticality and ability to make structures that would never be approved by any government anywhere.,0,
Would recommend enthusiastically.,0,
"You will achieve peak zen playing this game, its almost as good as therapy.",1,relaxing
I absolutely ADORE this game.,0,
"It's chill, stylish, and easy to use.",1,gameplay
I always look forward to new updates and can't wait to see what they add in the future.,0,
"As a lot of people have requested, more immersion like walking around in first person, having npc's in town, terrain leveling would all be cool things to have.",0,
"Anyway, great game, I love playing while listening to podcasts (i'm listening to Father Mike Schmitz bible in a year podcast while playing so it's great i can still focus on the podcast while playing!!)",0,
Very relaxing and worth every penny.,1,relaxing
Very very calming and a good calm break from murdering people,1,relaxing
"Being able to export your towns as an STL is an awesome feature, because you can 3D print them.",0,
This game is perfect if you just want to chill and have some absent-minded fun.,1,relaxing
"If you want to, you can learn the rules of creating various structures (of which there aren't many) and create big elaborate builds (have a look at the community screenshots, these folks know what they are doing!)",0,
But for me it's just chill absent-minded fun.,1,relaxing
This game is addicting.,1,fun
"I've played for almost 3 and a half hours, and I'm in love with it.",1,playtime
It lets you create without having to perform using very simple tools.,0,
"Honestly, anyone could play it.",1,accessibility
The money being asked for this is more than worth it.,1,price
"I've sunk over ten hours into this already, and I've not had it five days.",1,playtime
Simple game mechanics hide an ingenious algorithm that always has new things to show you.,1,gameplay
endless hours of amusement and creativity,1,playtime
"Amazing and calm game, one addition that'll be cool would be npc life on our towns.",1,relaxing
Very fun and relaxing casual game.,1,relaxing
Well worth the price.,1,price
Really hope to see some new features added over time to had even more diversity and colour.,0,
"Wish there was an option to click and drag, instead of having to click each cell individually.",-1,controls
- No options to change controls.,-1,controls
"Fun game concept, unfortunately, it has a lot of bugs and is generally quite broken.",-1,bugs
"It has the tells of a unity game that doesn't have a strong back end; a lot of the buildings can't be accessed by villagers, some need access from multiple angles but don't detail it, food buildings often won't acquire raw resources even if the buildings are put right beside them, villagers will starve even if there is food, and a lot of the maps have random spots that you simple cannot build on despite them not having any sort of obstacle.",-1,bugs
This one is very fun and is promising after fixes and updates.,1,fun
"Pros: 
You get to run around your town as the king.",1,gameplay
The combat/defense system is interesting and different then most sims that do not offer this threat system.,0,
Personally enjoy the art style,1,art
"Cons:
The AI is very buggy, sometimes they get stuck and wont do anything.",-1,AI
The interface is terrible compared to other games in this genre.,-1,UI
"The AI really isn't too bright, t",-1,AI
"here is not enough control over resources, and at times the controls seems clunky.",-1,controls
Random events that stop you from playing and make you want to ragequit should not be in the game.,-1,balance
"I love the fact that you can play as one of the settlers - it’s a small touch, but definitely makes this game more enjoyable.",1,atmosphere
Sometimes you get a really beautiful view walking through your town (even though it’s just a low poly game and graphics are pretty simple).,0,
"Overall I like it, though there were a few bugs and optimization is still much needed.",0,
A fun building simulator with unique graphics.,1,art
"Of course, I do not like cubic graphics, but here it is tolerable.",1,art
"We build mines, add resources, build our kingdom.",0,
There is a change of day and night.,0,
You can also switch to 3rd person mode and start hunting for animals.,0,
I really like the concept for this game.,0,
It looks good and has decent mechanics.,1,gameplay
But wow is the ai terrible.,-1,AI
"Controlling one of your people is basically required in this game, since I can't expect any of them to do anything except work in the buildings.",0,
I find it was at its worst with the farm.,0,
"My crops would be sitting there with max wheat, both the sheep farm and mill completely empty, and the people just... wouldn't deliver it.",0,
"I also constantly found them stuck on buildings and, in one case, a mountain that wasn't even near a road.",-1,bugs
"I also have some problems with the building aspect of the game, like how deleting roads doesn't actually remove the texture, leaving you with a grey patch forever haunting you if ever you change plans.",-1,bugs
"I also have some minor nitpicks, like how you can't destroy and replace a building without waiting for the admittedly fun explosion to end, as well as the occasional random explosion of logs that will rain from the sky.",-1,bugs
"There is a few bugs and it feels like an Early Access game, even if it isn't marked as such.",-1,bugs
"Pretty cartoonish drawing, which pleases the eye.",1,art
"A decent number of actions, opportunities.",0,
The gameplay here is not poor.,1,gameplay
"And most importantly, you need to repel the misfortunes of the orcs xD
The game is worth its money.",1,price
"I love games of this genre, I like to play them all day long.",0,
I advise everyone to play who loves this genre.,0,
I am in love with build animations and I like being able to take the king under direct control.,0,
But right now the game is unplayeble and it's not even in early access state.,-1,optimization
Lags with village of 100-120 population.,-1,optimization
The king got stuck under textures twise in 2 hours.,-1,bugs
I don't normally write reviews but this game...,0,
If you're looking for a COZY management/survival game I highly recommend this game.,1,relaxing
"Interesting visual style, I love city-building simulators since the days of the amusement park in PS1 and everyone's favorite sim city (now dead).",1,art
Good urban development.,0,
"I was especially pleased that in any case, the city will resemble a city, since roads are provided around.",0,
Great idea with the king unit.,0,
"You can not wait to reach key development points, being bored, but spend this time usefully, building something, dragging some resources or talking with residents.",0,
I hope for the further development of the game and that the developers will please us,0,
Was fun at first but as soon as you get things established it just sends more and more earthquakes and then the architects stop repairing houses.,-1,balance
"Unique, relaxing, a bit of a challenge with defense to break up the monotony.",1,relaxing
I really dont know what bugs other people are complaining about as this has run flawless for me so far.,1,optimization
This is done in an interesting pixel style.,1,art
You will always be interacting with settlers.,0,
Remember that unhappy settlers can destroy your city!,0,
"Easy interaction, great music!",1,sound
The game has a good reward and it is very popular among my friends!,0,
The game has a nice game design and its own plot (unlike similar games),1,gameplay
A well-designed settlement simulator with good graphics.,1,art
the mood system of the population will not let you relax.,-1,fun
There are a ton of small bugs and UI issues as well.,-1,UI
"Honestly, cannot recommend the game, as it's a bit short, and replayability is minimal.",-1,playtime
All that alters is the shape of the map.,0,
"It's the same cycle of ""Get house, food, iron, wool, medicine, then build an airship to do the same all over again""
There is no such thing as ""Food nodes"" or ""Farmland"".",0,
Everything is set up by you.,0,
"All you need  is a mountain for stone, and space for everything else.",0,
needs a lot of work.,-1,bugs
currently a glitchy mess.,-1,bugs
"unplayable after 20 minutes

developer seems to be hard at work addressing the issues so I may change my review in the future",-1,bugs
"This game did not explain why my avatar died, nor how to fix it.",-1,gameplay
A funny and interesting urban planning simulator with its own features under pleasant music.,1,fun
I liked the mix of strategy and survival.,0,
Nice graphics and gameplay.,1,art
My new favorite game!,0,
"Many modes, good music, easy control!",1,gameplay
The game is constantly updated and made better!,0,
"In the game, you can create your own settlement and watch how it flutters under your control!",0,
"The game is extremely pleasant, calm atmosphere and soundtrack.",1,atmosphere
"Many different things, as strategy suggests, you want to play it and learn the intricacies of mechanics.",1,gameplay
"This game is absolutely horrible, I do not recommend it for anyone.",-1,fun
The physics are one of the worst I have ever seen in racing game.,-1,physics
Crashing does not feel good when it should in this type of game.,-1,physics
The graphics look just ugly.,-1,art
Even the first Flatout from 2004 looks better than this in my opinion.,0,
"There is not even a proper career mode, just a boring challenge mode that has random single races you can complete.",-1,balance
"This game is overpriced, it should cost 5€/5$ at max, and even then I would not recommend the game to anyone.",-1,price
Flatout 3 features cars that have some of the worse systems of damage e.g.,-1,physics
"you trade paint and explode, you hit someone face on no damage.",0,
Maps that have the track missing in places e.g.,0,
a map where you have to jump across a black hole and never make it (including the AI).,0,
Zombies that should be road cones (they don't move).,0,
Graphics that are worse then flatout 1.,-1,art
Maps that have nothing in them called off road maps.,-1,level design
":( ..Bad driving mechanism, bad soundtrack, bad graphics and horrible level design.",-1,gameplay
It's not even worth $1 on sale.,-1,price
Graphics seems (at least to me) like downgrade from FlatOut2.,-1,art
"It have horrible original ""music"" and not licensed music from rock bands like the other flatouts.",-1,sound
"From what else i saw in that half hour i wasted on it was horrible maps like simple square with some houses around and thats it, thats your city race track.",-1,level design
"The game has graphics worse than Flatout 1, driveability worse than Flatout 1, a damage model worse than Sony's F1 2005-2009 (and that was horrible) and looks like a game made in....1998 at best.",-1,art
"And you don't need to worry about avoiding obstcales, your car plows right through everything minus a building or a tree with minimal speed lose.",-1,physics
"Controls:
The controls are vague in comparison to the previous games which will make you go to the control options screen.",-1,controls
"You'd think that you can't use a controller with the ""device"" settings on ""keyboard"", you're wrong.",-1,controls
Not worth what I paid for it.,-1,price
The biggest issue with the game is one that writes the whole experience off: the physics are horrible.,-1,physics
Cars don't FEEL right.,0,
"Their acceleration, turning and collision feel simply horrible.",-1,physics
You can really tell a different developer made this title.,0,
Can't Drive Stick out of Ten,0,
This game is not worthy to be called a Flatout-game.,0,
It might not even be worthy to be called a game.,0,
"The cars are bad, the steering is bad, the boost is bad, the gameplay is almost non existant, the damage model is broken, ...",-1,gameplay
also the controles are just dreadful,-1,controls
You wont like it its not a good game dont pay full price for it 1/10,-1,price
"The driving physics are really shallow, over half of the game-modes don’t seem to be well designed or have terrible pacing, and the game just overall [i]isn’t fun[/i].",-1,physics
"[h2] The Un-Good [/h2]
The driving physics are really shallow and easy to take advantage of.",-1,physics
The AI plays out pretty terribly.,-1,AI
"In Night Shift, my opponent consistently crashed on the first turn on the first map.",0,
"In subsequent maps, it was just short of being common that my opponent would crash and then I’d just [b]not[/b] see them for the rest of the race.",0,
"In Battles, the AI gets stuck in loops and will just drive in literal circles, even if the last two cars are just yourself and them.",-1,AI
I don’t even think the AI is even trying to compete against you in this mode.,-1,AI
There is no story,-1,narrative
"When you're in game, you'll also notice that this game has approximately 0 physics.",-1,physics
"You jump, you go in a straight arc without any form of weight, drifting feels wrong in every way, and you barely go any faster when you nitro.",-1,physics
"I myself am not really a fan of how the Flatout games play with how their physics work, but this feels so much worse!",0,
"Doesn't help that collisions are stinky, you smash into someone and only do 1 damage, but someone grinds your car's asshole for 2 seconds and you're at 25 health.",-1,physics
"Outside of the barely functioning gameplay, there are different modes, including a Destruction Derby (that sucks), super derby (that sucks), collection mode (that sucks), non-linear mode (that sucks), nigh mode (that sucks), minigames (that sucks), and Splatout (that sucks).",-1,gameplay
"All the modes suck because the game barely functions, and the ai is poo.",-1,gameplay
Graphics and Presentation: This game just looks so stupid...,-1,art
"Also, say goodbye to memorable characters with actual personality, now we just have stupid parodies that aren't even slightly funny and only exist for the ""Oh I recognize that"" factor.",-1,narrative
"Ugh... 1/10

Sound and Soundtrack: Stock.",-1,sound
Everything about the sounds in this game is stock!,-1,sound
"In fact, the music is so stock and bad, they give you an option to use your own, which I admit would be cool.",-1,sound
"Because it doesn't work, what did you expect?",0,
"Because when I tried to load a custom song that wasn't a sound effect, the game just crashes.",0,
"Nice game testing, Team 6.",0,
"Plus, the game doesn't automatically advance songs, or sounds in this case, meaning the same sound will constantly repeat over and over until you get sick of it, press the D-Pad to advance, and then crash the game because it's terrible and deserves to die!",-1,sound
"This game is awful in every sense, and I cannot believe Bugbear gave this the OK, they had to have at least seen the product, yes?",-1,gameplay
"The driving mechanics feel unresponsive and floaty, making it difficult to control the vehicles effectively.",-1,controls
"The once enjoyable and adrenaline-pumping races have been reduced to a chaotic mess, with poor collision detection and inconsistent physics.",0,
The sense of speed and excitement that made the previous games so thrilling is completely absent.,0,
The AI in FlatOut 3 is nothing short of infuriating.,-1,AI
"Opponents seem to have an unfair advantage, displaying uncanny accuracy and flawless maneuvers.",0,
"They effortlessly dodge obstacles and perfectly navigate tight corners, while you struggle to keep up.",0,
"This lack of balance makes races feel unfair and unenjoyable, leading to constant frustration.",-1,balance
"Furthermore, the game suffers from numerous technical issues.",-1,optimization
"The graphics are outdated and lack polish, with low-quality textures and poor visual effects.",-1,art
"The frame rate drops frequently, causing stuttering and disrupting the overall gameplay experience.",-1,optimization
"The lack of optimization is evident, leading to constant crashes and frustrating load times.",-1,optimization
The game lacks the depth and replayability that made the previous titles enjoyable.,-1,gameplay
"In conclusion, FlatOut 3 is a disappointing and frustrating experience that fails to capture the essence of the beloved series.",-1,gameplay
"From the lackluster gameplay mechanics to the technical issues and lack of content, it falls short in every aspect.",-1,gameplay
The handling is indescribably bad.,-1,controls
"The AI is just garbage, making the outcome of a race or battle purely random.",-1,AI
The damage physics make no sense.,-1,physics
This game crashes constantly.,-1,optimization
"It could crash once every 3 hours, or like my case, it could crash every 5 minutes.",-1,optimization
"It could crash at the end of a particular race, or in the middle of the main menu 15 seconds after launching the game.",-1,optimization
Hadn't it been for these constant crashes I could honestly recommend this game purely for the batshit insane things happening in this haunted hellhole of a game.,-1,optimization
"I just can't recommend this game, not even for the 1$ sales it constantly goes on.",-1,price
"The car handling is janky, physics are nonexistent, glitches everywhere, graphics are muddy, AI doesn't know how to drive, among other problems.",-1,physics
Even the soundtrack sucks.,-1,sound
Instead of real music it's now some generic background music.,-1,sound
This is really not fun.,-1,fun
"So..where do I start, well let's just be blunt: Everything in this game sucks.",-1,gameplay
"The car physics are terrible and straight up broken at times, sometimes you'll ram full speed into something but you won't take any damage but other times you just love tap something and take insane amounts of damage.",-1,physics
It's pretty amazing they managed to make better controller support than FlatOut 1 and 2 which is sad but thankfully FlatOut 1 and 2 more than make up for that.,1,controls
"Handling sucks, maps suck, graphics suck, AI sucks, sound design sucks",-1,gameplay
The problem is the difficulty of this game is extreme.,-1,balance
"There's no tutorial, and the game just is very hard.",-1,accessibility
"If you turn the difficulty and number of cars down, the game is better, but still quite difficult.",0,
"There are no tutorials, which means there's no explanation of the boost system (it seem it awards boost for style points when near other cars, maybe?)",-1,accessibility
and the AI is INCREDIBLY difficult.,-1,balance
"The gameplay is atrocious, the cars feel like they have no weight, the tracks are badly designed.",-1,gameplay
The hits as well feel like they barely do damage.,-1,physics
Graphically as well it feels worse than Flatout 1 & 2.,-1,art
One of the worst games I've ever played.,-1,fun
physics of cars are awful,-1,physics
ui looks awful aswell,-1,UI
"Really bad game, it doesn't deserve it's name, cringy ass character design, bad game design.",-1,fun
"Everything feels wrong, muddy car controls, frame rate is not constant, it does not look nice, car sounds are off, crashing does not feel satisfying.",-1,optimization
"heat from fire, fire from heat",0,
"I'm the kind of person who plays a game for the story, not the difficulty.",0,
"There's something that makes this game very special to me, and that's the Assist mode.",1,accessibility
"I suck at most video games--it took me 91 hours to beat Hollow Knight, and I only finished it because of the immortality mod I added to the game.",0,
"I turned on the Assist mode in Celeste, and not only beat the game, but had an incredible time doing so.",1,accessibility
Another really awesome thing is the huge text in the game.,1,accessibility
"I'm visually impaired, and I almost started crying when I saw how big the font in this game is--I can actually read it, without having to use my magnification program, or smashing my face up against the screen.",1,accessibility
There's no colourblind mode which makes the sunset stage impossible for me to finish,1,accessibility
"Due to the abundance of positive reviews, I couldn’t help but be drawn to [b]Celeste[/b].",0,
"Avoiding all spoilers, I strapped myself in for what many describe as a sublime experience.",0,
"Admittedly, I was a little let down in the beginning, as I had not yet understood the journey that awaited me.",0,
"As I progressed and the story developed, I grew fonder of the game and ultimately felt pride in reaching the summit of Mount Celeste.",0,
"The expression, “the journey is more important than the destination” fits this game to a T. 
Just a fair warning for those interested in the game: Celeste is a precision platformer and is often unforgiving, so be prepared to fail a lot (818 deaths during my first run).",0,
[b][+] Challenging is a very accurate description of the game.,1,balance
"[/b]
Comparable to the likes of Super Meat Boy, Celeste is a 2D platformer that offers little room for mistakes - one hit kills you instantly and sends you back to the beginning of the screen.",1,gameplay
"Thankfully, the respawn/reload times are very short, cushioning the player from the frustrations of frequent deaths.",1,gameplay
"Deaths are (nearly) inevitable but given that the controls are simple and responsive, I never had the impression that the game was unfair; just difficult.",0,
"Furthermore, each level introduces new platforming mechanics that gradually become more demanding as the level progresses.",1,level design
These nuances to your controls/movement add novelty and imbues progression with a sense of mastery.,1,controls
Definitely another great example of a game that is “easy to learn but difficult to master”.,1,balance
[b][+] Diverse levels paired with sublime soundtracks.,1,sound
"[/b]
This one is fairly straightforward, so I won’t go into too much detail.",0,
"Every level has a unique theme, setting, and fantastic paired soundtrack.",1,atmosphere
Check out the trailer for a quick taste.,0,
[b][+] The story is what sets Celeste apart from other games in this genre.,0,
"[/b]
Yes, the gameplay is good but the story elevates this game to new heights [i](cause they climb a mountain, get it?)[/i].",1,narrative
"While the story touches on many themes, mental health and personal growth are the centrepiece.",1,narrative
"It is clear that Madeline (the main character) suffers from a range of negative emotions (fear, anger, anxiety and depression), so much so that her emotions physically manifest in the form of Badeline (great name, I agree).",0,
"https://steamcommunity.com/sharedfiles/filedetails/?id=2176221194
The progression of their relationship is nothing short of inspiring.",0,
"[spoiler]What starts out as an antagonistic relationship, ends up being one of [url=https://steamcommunity.com/sharedfiles/filedetails/?id=2177190353]partnership and encouragement.",0,
"[/url][/spoiler] In scaling the mountain, Madeline shows incredible determination for self improvement.",0,
"It is therefore immensely appropriate that the gameplay is challenging since the mountain is essentially a big metaphor for how frightening, discouraging, and challenging it can be to face your internal struggles.",1,narrative
"In fact, the journey was so touching that I felt encouraged to focus on my mental health.",0,
[b][+] I especially loved the last level (Summit) as it combines the best of the story and gameplay.,1,level design
"[/b]
In terms of gameplay, it serves as a challenging summary of your journey up the mountain by featuring the different platforming mechanics in a new setting.",0,
"In terms of story, it marks the first big step to self improvement (physically represented by the summit) and the beginning of a great partnership between M(B)adeline.",0,
Overall just an excellent level.,1,level design
[b][+] Completing the main story is only the tip of the iceberg.,0,
"[/b]
The main game is not very long (~5 hours depending on your skill level) but is sufficiently challenging and long enough for plot development.",1,playtime
"The additional levels, however, are where things get really spicy.",1,level design
Hidden collectables in the form of crystal hearts and B-side cassettes unlock additional levels that are significantly harder than the main levels and were probably designed for precision platforming fanatics.,0,
I gave them an honest attempt but threw in the towel since I wasn’t enjoying myself.,0,
"Regardless, it’s nice to have the option for harder levels, especially if you’re a masochist.",1,accessibility
"Celeste is a precision platformer, plain and simple.",0,
"[/b]
It is clear that experiencing the difficulty of the game firsthand is central to the story/message but I would imagine that even the core game might be too challenging for most casual gamers.",1,gameplay
"Despite having a great story that is alluring to many, it seems that the gameplay is intended for a niche audience.",1,gameplay
"If you are unprepared, this could result in a frustrating experience rather than an elevating one.",0,
"[b][x] I experienced some technical difficulties concerning controller recognition:[/b] 
[1]When starting the game, if my first input is with the keyboard, I wouldn’t be able to get my controller to work.",-1,controls
The only solution I found was to reset the game.,0,
"[strike][2]Using the keyboard at all while playing (alt+tab or shift+tab, for example) often disconnects the controller.",-1,controls
It would often take 30 seconds upon returning to the game for the controller to be functional again.,0,
"[/strike]
Neither is a major cause for concern but a fix would be nice.",0,
"[h1]🏅[u]Verdict:[/u][/h1]
[h1]★★★★✬ Excellent (if you enjoy precision platformers)[/h1]
Celeste is a fantastic experience but (likely) only if you fall within the niche of gamers that enjoy precision platformers.",0,
"Even I, who typically loves platformers, sometimes found my patience wavering at times (nothing a little break couldn’t fix).",0,
"However, it is vital to clarify that Celeste isn’t just about the platforming - it is the fusion of challenging gameplay and brilliant storytelling that sets this game apart.",1,gameplay
Failing is [u]required[/u] to fully immerse yourself in this heartwarming journey.,0,
"Although I adore this game, I would only recommend this game if you are willing and ready to suffer (definitely worth it though).",0,
I have depression and this game appeals to me.,0,
"After playing it I'm still depressed, but my left thumb hurts.",0,
"I may not have panic attacks necessarily, but I've definitely had some anxiety problems for years.",0,
"It feels like it's mostly under control now, but today something triggered it to flair up again.",0,
"Normally I'd just keep fretting forever, but this game actually made me see my anxiety and some other aspects of myself in a different light, a kinder light.",0,
"It's definitely a bit frustrating at points, but it's a challenge I know I can make easier at any point, but don't want to.",-1,balance
"Maybe, like the main character, I have something to prove, something to gain from the struggle.",0,
"There's this moment of catharsis when I complete a tricky area and I find pride in collecting all the strawberries I can, even the tricky ones.",1,balance
"The gameplay is excellent, and honestly?",1,gameplay
"Normally I'd get frustrated by repeated deaths, but there's a moment where it essentially tells you it's okay to fail because you're learning from it, and that really just put a lot into perspective for me.",1,balance
"The levels are gorgeous, the music is amazing, the sense of emotion is a little overwhelming at times, the gameplay is rewarding, and the characters and even the mountain itself flow seemlessly together into a good story and metaphor.",1,level design
"As a gamer, a writer, a psychology student, and someone who's struggled with her own mental health, I have to say this game is excellent on all accounts.",1,narrative
"The assist mode is a generous inclusion that I fully support, and I may yet use it.",1,accessibility
"The generous checkpointing also indicates, to me at least, that this is not a game that's hard for the sake of being hard - it's hard with the intent of building up your skills and rewarding your progress, not punishing your mistakes.",1,accessibility
nice try but i know canada isnt real,0,
trans people can double jump,0,
i played this game for a bit,0,
this game turned me into a girl,0,
"Very cool soundtrack, with a free game in it",1,sound
"After 1,000 hours, completing all developer intended content, and a bunch of arbitrarily defined challenges, I can confidently say that Celeste is the best game I've ever played, and my favorite game of all time.",1,playtime
"Every time I try and type up a review for this game, it always ends up trailing on for 10 paragraphs about how ""Playing Celeste is like painting"" and ""Madeline is the paint brush and the chapters are my canvas"" and stuff like that.",0,
"So instead, I'm just going to keep it short and say PLEASE PLAY THIS GAME.",0,
"The content in this game is hands down the best and most fun platforming I've ever experienced, and the controls that you'll be using to complete said platforming are as close to perfection as you can get for a video game.",1,controls
"Spoiler-y advice [spoiler] With all that being said, there is one bit of advice I'd like to offer to anyone that has completed 100% and wishes to purse the 26 golden berries, please don't get upset with yourself if that kind of content frustrates you.",0,
"Golden berries aren't for everyone, and that's okay.",0,
"Walking away from this game at 176 berries and all hearts is perfectly fine, and is virtually the entirety of the experience of the game.",0,
"Deep down, part of me wishes I'd had someone to tell me that after I completed 100%, but I suppose that's a story for another time.",0,
"Enjoy your time in Celeste, and have fun.",0,
The games difficulty is literally perfect.,1,balance
The levels are only 1-3 screens big before you get to a safepoint.,1,level design
"So, even if you are terrible at these sort of games, after a few attempts, you will get through it.",0,
"If you are a pro at platformers, there are collectables that make the game harder.",0,
The game isn't full of special moves.,0,
"You don't have to learn 100 different jump, dodge, levitate mechanics.",0,
It has its few core moves and you have to use them to their full potential instead of learning a new technique every 20 min while you didn't even master the last one.,1,controls
The music/sound is literally on-point and fits the game perfectly.,1,sound
It always changes based on the situation you are in and you can't stress enough how important good music and sound is in a platformer.,0,
"Somehow, this plattformer has a good story.",1,narrative
"Thanks to the modern setting, you can really feel with the main character.",0,
I won't spoiler anything here though.,0,
"All in all, I can't believe how enjoyable this game really was.",0,
I am a guy that generally plays his few multiplayer games and generally ignore every singleplayer game I bought because I quickly get frustrated or bored.,0,
"It has the perfect difficulty for everyone, the music is superb and the gameplay feels rewarding.",1,gameplay
Even the pixel art style didn't annoy me after a hour of game time.,1,art
But the gameplay loop is almost faultless.,1,gameplay
"On top of that, should you just want to experience the story, the accessibility menu offers you the chance to never run out of stamina or to be invincible.",1,accessibility
"- it's just that, well, the game features an entire suite of accessibility features intending to make combat *less* of a thing, and I think that was a really wise decision.",1,accessibility
"I am thankful it has many [b]accessibility options[/b] at launch, but I'd appreciate some extras...",1,accessibility
The accessibility options outlined above could be simplified (and examples shown) but preset profiles that explain the intended audience.,1,accessibility
"I still [b]recommend the game[/b], because even if it's too hard right now, those [b]accessibility options[/b] exist to use after the player gets stuck.",1,accessibility
"Also worth noting, there are some excellent accessibility enhancements, if the challenging combat is putting you off.",1,accessibility
"If you don't like the combat, there ARE accessibility options for it to make it easier.",1,accessibility
"And if that isn't to your taste, there are things in accessibility so you can swing to your hearts content with much less concern.",1,accessibility
"And a platformer, it's solid, but unremarkable, and the platforming segments are going to be the sticking point for a lot of people; fortunately, the game has fantastic accessibility options that not only change the difficulty of platform segments, but provide everything from colorblind support to different fonts.",1,accessibility
"Love the clever, witty dialogue, and the mix of platformer and point and click adventure is surprisingly effective (though I'm sure that's helped by my love of both genres.)",1,narrative
Graphically it's a total delight and wonderfully charming.,1,art
Fantastic animation.,1,art
The music perfectly sets the tone and mood of each area.,1,sound
Also I really love the amount of accessibility options.,1,accessibility
I don't think I've ever played a game with the option of a dyslexic friendly font before.,1,accessibility
"There are a few jokes in the game I missed out on, either I'm not old enough to get the reference, or I've not seen the particular game/film/tv show to truly appreciate the punchline - but that's okay, not every joke is going to land with everyone, and the number that stick the landing vastly outweighs those that flew right over my head!",1,humor
I genuinely found myself laughing out loud at home alone to some lines I'll remember for a long time!,1,humor
"As a quick round off of some other features - the accessibility options are thorough, clearly a step above from their past titles and even most other games on the market.",1,accessibility
"Whilst the humour might be immature in parts (plenty of poo, bum, and penis jokes) it's never distasteful, and sensitive topics are treated with the respect they deserve (a reflection of Ben and Dan's own growth in the past 10 years no doubt) and poke fun at the negative sources of these remarks rather than the subject matter itself (for example - racists and sexists are the butt of the joke).",1,humor
The puzzle design was excellent and the platforming just the right level of difficulty (although this can be tweaked to your liking) and the two styles are blended together seamlessly.,1,puzzles
"There's also lots of great banter and 4th wall jokes, beautiful pixel art visuals, an excellent soundtrack, tons of accessibility options and a passionate dev team so this game really ticks all the boxes.",1,atmosphere
I've been really enjoying the game so far and I've only played short of 4 hours.,1,fun
"I dig the pacing, humor and the way the devs were able to mix the genres.",1,humor
110% worth every penny.,1,price
"This game is so satisfying - the puzzles are so well-constructed and logical, plus there's enough in-game hints that I've never been stuck for very long.",1,puzzles
Plus the accessibility options are tremendous.,1,accessibility
"Unique central game-mechanic, clever puzzles, tightly-designed player-progress cues, light-hearted but brisk dialogue never allowed to choke game-play, Worth playing.",1,gameplay
